DATE,GASDESW
2007-11-19,3.410
2007-11-26,3.444
2007-12-03,3.416
2007-12-10,3.325
2007-12-17,3.309
2007-12-24,3.308
2007-12-31,3.345
2008-01-07,3.376
2008-01-14,3.326
2008-01-21,3.270
2008-01-28,3.259
2008-02-04,3.280
2008-02-11,3.280
2008-02-18,3.396
2008-02-25,3.552
2008-03-03,3.658
2008-03-10,3.819
2008-03-17,3.974
2008-03-24,3.989
2008-03-31,3.964
2008-04-07,3.955
2008-04-14,4.059
2008-04-21,4.143
2008-04-28,4.177
2008-05-05,4.149
2008-05-12,4.331
2008-05-19,4.497
2008-05-26,4.723
2008-06-02,4.707
2008-06-09,4.692
2008-06-16,4.692
2008-06-23,4.648
2008-06-30,4.645
2008-07-07,4.727
2008-07-14,4.764
2008-07-21,4.718
2008-07-28,4.603
2008-08-04,4.502
2008-08-11,4.353
2008-08-18,4.207
2008-08-25,4.145
2008-09-01,4.121
2008-09-08,4.059
2008-09-15,4.023
2008-09-22,3.958
2008-09-29,3.959
2008-10-06,3.875
2008-10-13,3.659
2008-10-20,3.482
2008-10-27,3.288
2008-11-03,3.088
2008-11-10,2.944
2008-11-17,2.809
2008-11-24,2.664
2008-12-01,2.615
2008-12-08,2.515
2008-12-15,2.422
2008-12-22,2.366
2008-12-29,2.327
2009-01-05,2.291
2009-01-12,2.314
2009-01-19,2.296
2009-01-26,2.268
2009-02-02,2.246
2009-02-09,2.219
2009-02-16,2.186
2009-02-23,2.130
2009-03-02,2.087
2009-03-09,2.045
2009-03-16,2.017
2009-03-23,2.090
2009-03-30,2.221
2009-04-06,2.228
2009-04-13,2.229
2009-04-20,2.221
2009-04-27,2.201
2009-05-04,2.185
2009-05-11,2.216
2009-05-18,2.231
2009-05-25,2.274
2009-06-01,2.352
2009-06-08,2.498
2009-06-15,2.572
2009-06-22,2.616
2009-06-29,2.608
2009-07-06,2.594
2009-07-13,2.542
2009-07-20,2.496
2009-07-27,2.528
2009-08-03,2.550
2009-08-10,2.625
